id,run_id,expression,latex,fitness,dl,size,frequency,parameters,prediction
37c8908d-fb37-4faf-96d0-25996cf17a58,,m2,,-67.38622200897555,,1,,,
174ad05b-b315-4a70-b218-3810b4f2d1f2,,((m2 * m1) / (r * r)),,-4.531963728647462e-30,,7,,,
7480f79f-8f9b-4668-8c72-a7a2e6b473da,,(((m2 - (t0 * m2)) * m1) / (r * r)),,-4.531963728647462e-30,,11,,"{""0"":4.636489922359839e-17}",
91092a7d-c68d-43a6-b9bb-fbd8739e2ccc,,(((t0 / (m1 / m2)) + (m2 * m1)) / (r * r)),,-4.531947237872313e-30,,13,,"{""0"":6.938893903907228e-17}",
a3959bbe-a2ef-4e2a-9ba6-78f399c7f7e1,,(((t0 / ((m2 * m1) ^ r)) + (m2 * m1)) / (r * r)),,-4.531844730251023e-30,,15,,"{""0"":-8.881784197001252e-16}",
7b6ad644-00aa-4dcc-98c5-d7b7c156ed9f,,(((t0 * m2) * m1) / (r * r)),,-4.531963728647462e-30,,9,,"{""0"":1}",
0cf63c37-e1d5-4c25-8bf7-60647dba799e,,(t0 / r),,-45.55546894676717,,3,,"{""0"":18.31981316447581}",
25ecbd04-2eef-436b-9246-b3730e37c5e2,,(t0 / (r / m1)),,-31.674171057313988,,5,,"{""0"":3.3267025752577597}",
