id,run_id,expression,latex,fitness,dl,size,frequency,parameters,prediction
dc976872-0bc3-4828-97a8-a51ab6f2790a,,((m1 / r) * (m2 / r)),,-0.043193409310186885,,7,,,
5fa23a39-3341-4a6e-adf3-4890e9cbffd8,,(((m1 * t0) / r) * (m2 / r)),,-0.04304695142682316,,9,,"{""0"":1.001160899548583}",
5549468d-2075-40d7-8bf4-64cb9e5d637c,,((((m1 * t0) / r) + (m2 * t1)) * (m2 / r)),,-0.0429622666712138,,13,,"{""0"":1.0024205081045396,""1"":-0.0007445034347255976}",
6a732c3f-b282-41a3-a644-0805b8196de9,,m2,,-65.08135965354907,,1,,,
d0a6a439-8d51-43ae-a47c-a05c6aceb518,,((m2 * t0) / r),,-30.940638106056543,,5,,"{""0"":3.2097792379118877}",
2416b2ae-0847-4284-b7a8-f7fd3ffb22aa,,(((t0 * (m1 + m2)) + ((m1 * t1) / r)) * (m2 / r)),,-0.04295088934165386,,15,,"{""0"":-0.0006037524515576716,""1"":1.0030690407274758}",
fbb8aabd-b2f9-4156-877b-33305b9158c4,,(t0 / r),,-44.4192005204859,,3,,"{""0"":18.0466529209436}",
26289509-9f5a-4fcb-b6d2-900f828dec2c,,((t0 + (t1 * (m1 / r))) * (m2 / r)),,-0.04297217893523576,,11,,"{""0"":-0.005907384096674308,""1"":1.0024814988410984}",
