id,run_id,expression,latex,fitness,dl,size,frequency,parameters,prediction
2b2cc359-e1d9-4208-be9e-e62bb7bc0038,,m1,,-70.94604960007133,,1,,,
b085f66f-5f84-4e04-a99c-333649913972,,((m1 / r) ^ t0),,-28.132989693934327,,5,,"{""0"":1.7874635729584343}",
09960217-9549-497e-849f-b4eb3e7726b5,,(((((m1 * t0) * m2) + (m2 * t1)) / r) / r),,-4.21711491100965,,13,,"{""0"":1.0281915723263642,""1"":-0.13607389561867542}",
215a806b-d1c0-4ac4-be8a-d0afa0409748,,((((m1 * t0) * m2) / r) / r),,-4.227760901367593,,9,,"{""0"":1.00769812278393}",
7f21e137-a59a-4ccc-80a7-c2b91c5f1036,,((m2 + m1) / (r + t0)),,-17.185363308855212,,7,,"{""0"":-0.6921298729061245}",
95a9a5a9-01e3-4f95-a96e-0ab8d1bd5e4f,,((((m2 * m1) + (t0 * (m2 + t1))) / r) / (r + t2)),,-4.215308192253916,,15,,"{""0"":-0.21672726687048371,""1"":-0.6351549717849663,""2"":-0.048134200269394335}",
37d62470-f519-4673-97b1-f4785183acb7,,(((t0 + (m2 * m1)) / r) / (r + t1)),,-4.220746765592203,,11,,"{""0"":-0.7295507435909087,""1"":-0.03242227670168217}",
7caf59a0-f81a-450b-854b-12ca5f38cebc,,(t0 / r),,-50.14542794258144,,3,,"{""0"":18.07466058986979}",
