id,run_id,expression,latex,fitness,dl,size,frequency,parameters,prediction
b2df3f5e-88ae-44c8-b963-63baf5884e8e,,(((m2 + (m2 * m1)) / r) / (r * r)),,-11.966425941169996,,11,,,
9e87c4c6-068b-4f95-abe3-281a09973658,,((m2 - (r * t0)) / (r * r)),,-41.86667613118912,,9,,"{""0"":-14.7554316230813}",
ab49b4fb-8262-4ce4-9f40-40f8180d44a9,,((((m2 ^ t0) / (r * r)) * t1) ^ t2),,-93.66604347770658,,11,,"{""0"":-0.9229524437680668,""1"":0.8350648007468042,""2"":-0.3162685588493647}",
436a6862-4c91-47ed-9a0c-4971074e9876,,(r / (((m2 + t0) ^ m2) - ((m1 ^ r) / (r * r)))),,-158.4734676375814,,15,,"{""0"":0.1917007865518945}",
3177d203-e610-40ac-b839-ca12c658ad87,,(((t0 ^ (m2 ^ m2)) / (t1 / (r * r))) / (r + t2)),,-114.88489647182205,,15,,"{""0"":0.05685401086066105,""1"":1.8391912711773641,""2"":-0.7176457601130595}",
3b42a163-549a-4048-ab0e-e1a9066cbe0d,,((t0 / (r * r)) / (r + t1)),,-46.62502423878198,,9,,"{""0"":36.909188331691794,""1"":-0.1283046940981331}",
bc0cc01f-e805-4a12-bca8-cb4100d6d5d0,,(((t0 + (t1 * (m2 + t2))) / r) / (r * r)),,-31.712880460779136,,13,,"{""0"":0.7776457615788063,""1"":6.262357517296113,""2"":0.3631505813454371}",
